"year","council","income","activity","val"
2011,"Rotorua District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Rotorua District Council","Interest expenditure","Transportation",3492
2011,"Rotorua District Council","Purchases and other operating expenditure","Transportation",1037
2010,"Rotorua District Council","Rates","Transportation",116
2010,"Rotorua District Council","Regulatory income and petrol tax","Transportation",1772
2010,"Rotorua District Council","Current grants, subsidies, and donations income","Transportation",270
2010,"Rotorua District Council","Interest income","Transportation",0
2010,"Rotorua District Council","Dividend income","Transportation",0
2010,"Rotorua District Council","Sales and other operating income","Transportation",2293
2010,"Rotorua District Council","Employee costs","Transportation",522
2010,"Rotorua District Council","Depreciation and amortisation","Transportation",870
2010,"Rotorua District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Rotorua District Council","Interest expenditure","Transportation",2916
2010,"Rotorua District Council","Purchases and other operating expenditure","Transportation",2236
2009,"Rotorua District Council","Rates","Transportation",271
2009,"Rotorua District Council","Regulatory income and petrol tax","Transportation",1764
2009,"Rotorua District Council","Current grants, subsidies, and donations income","Transportation",379
2009,"Rotorua District Council","Interest income","Transportation",0
2009,"Rotorua District Council","Dividend income","Transportation",0
2009,"Rotorua District Council","Sales and other operating income","Transportation",2643
2009,"Rotorua District Council","Employee costs","Transportation",532
2009,"Rotorua District Council","Depreciation and amortisation","Transportation",1087
2009,"Rotorua District Council","Current grants, subsidies, and donations expenditure","Transportation",92
2009,"Rotorua District Council","Interest expenditure","Transportation",2143
2009,"Rotorua District Council","Purchases and other operating expenditure","Transportation",1236
2014,"Rotorua District Council","Rates","Water supply",3076
2014,"Rotorua District Council","Regulatory income and petrol tax","Water supply",9
2014,"Rotorua District Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Rotorua District Council","Interest income","Water supply",0
2014,"Rotorua District Council","Dividend income","Water supply",0
2014,"Rotorua District Council","Sales and other operating income","Water supply",3549
2014,"Rotorua District Council","Employee costs","Water supply",1424
2014,"Rotorua District Council","Depreciation and amortisation","Water supply",2923
2014,"Rotorua District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Rotorua District Council","Interest expenditure","Water supply",501
2014,"Rotorua District Council","Purchases and other operating expenditure","Water supply",2099
2013,"Rotorua District Council","Rates","Water supply",3345
