"year","council","income","activity","val"
2011,"Central Otago District Council","Interest expenditure","Transportation",0
2011,"Central Otago District Council","Purchases and other operating expenditure","Transportation",30
2010,"Central Otago District Council","Rates","Transportation",14
2010,"Central Otago District Council","Regulatory income and petrol tax","Transportation",0
2010,"Central Otago District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Central Otago District Council","Interest income","Transportation",0
2010,"Central Otago District Council","Dividend income","Transportation",0
2010,"Central Otago District Council","Sales and other operating income","Transportation",21
2010,"Central Otago District Council","Employee costs","Transportation",0
2010,"Central Otago District Council","Depreciation and amortisation","Transportation",5
2010,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Central Otago District Council","Interest expenditure","Transportation",0
2010,"Central Otago District Council","Purchases and other operating expenditure","Transportation",34
2009,"Central Otago District Council","Rates","Transportation",30
2009,"Central Otago District Council","Regulatory income and petrol tax","Transportation",0
2009,"Central Otago District Council","Current grants, subsidies, and donations income","Transportation",0
2009,"Central Otago District Council","Interest income","Transportation",0
2009,"Central Otago District Council","Dividend income","Transportation",0
2009,"Central Otago District Council","Sales and other operating income","Transportation",21
2009,"Central Otago District Council","Employee costs","Transportation",0
2009,"Central Otago District Council","Depreciation and amortisation","Transportation",5
2009,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Central Otago District Council","Interest expenditure","Transportation",0
2009,"Central Otago District Council","Purchases and other operating expenditure","Transportation",30
2014,"Central Otago District Council","Rates","Water supply",2044
2014,"Central Otago District Council","Regulatory income and petrol tax","Water supply",-2
2014,"Central Otago District Council","Current grants, subsidies, and donations income","Water supply",5
2014,"Central Otago District Council","Interest income","Water supply",0
2014,"Central Otago District Council","Dividend income","Water supply",0
2014,"Central Otago District Council","Sales and other operating income","Water supply",1396
2014,"Central Otago District Council","Employee costs","Water supply",536
2014,"Central Otago District Council","Depreciation and amortisation","Water supply",1197
2014,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Central Otago District Council","Interest expenditure","Water supply",0
2014,"Central Otago District Council","Purchases and other operating expenditure","Water supply",1107
2013,"Central Otago District Council","Rates","Water supply",1777
2013,"Central Otago District Council","Regulatory income and petrol tax","Water supply",18
2013,"Central Otago District Council","Current grants, subsidies, and donations income","Water supply",30
2013,"Central Otago District Council","Interest income","Water supply",0
2013,"Central Otago District Council","Dividend income","Water supply",0
2013,"Central Otago District Council","Sales and other operating income","Water supply",1326
2013,"Central Otago District Council","Employee costs","Water supply",538
2013,"Central Otago District Council","Depreciation and amortisation","Water supply",1248
2013,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Central Otago District Council","Interest expenditure","Water supply",0
2013,"Central Otago District Council","Purchases and other operating expenditure","Water supply",1187
2012,"Central Otago District Council","Rates","Water supply",3055
2012,"Central Otago District Council","Regulatory income and petrol tax","Water supply",0
2012,"Central Otago District Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Central Otago District Council","Interest income","Water supply",0
2012,"Central Otago District Council","Dividend income","Water supply",0
2012,"Central Otago District Council","Sales and other operating income","Water supply",340
2012,"Central Otago District Council","Employee costs","Water supply",183
2012,"Central Otago District Council","Depreciation and amortisation","Water supply",1807
2012,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Central Otago District Council","Interest expenditure","Water supply",0
2012,"Central Otago District Council","Purchases and other operating expenditure","Water supply",1419
2011,"Central Otago District Council","Rates","Water supply",2732
2011,"Central Otago District Council","Regulatory income and petrol tax","Water supply",0
2011,"Central Otago District Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Central Otago District Council","Interest income","Water supply",0
2011,"Central Otago District Council","Dividend income","Water supply",0
2011,"Central Otago District Council","Sales and other operating income","Water supply",368
2011,"Central Otago District Council","Employee costs","Water supply",179
2011,"Central Otago District Council","Depreciation and amortisation","Water supply",1194
2011,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Central Otago District Council","Interest expenditure","Water supply",0
2011,"Central Otago District Council","Purchases and other operating expenditure","Water supply",2020
2010,"Central Otago District Council","Rates","Water supply",2528
2010,"Central Otago District Council","Regulatory income and petrol tax","Water supply",0
2010,"Central Otago District Council","Current grants, subsidies, and donations income","Water supply",25
2010,"Central Otago District Council","Interest income","Water supply",0
2010,"Central Otago District Council","Dividend income","Water supply",0
2010,"Central Otago District Council","Sales and other operating income","Water supply",383
2010,"Central Otago District Council","Employee costs","Water supply",175
2010,"Central Otago District Council","Depreciation and amortisation","Water supply",1154
2010,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"Central Otago District Council","Interest expenditure","Water supply",0
2010,"Central Otago District Council","Purchases and other operating expenditure","Water supply",1670
2009,"Central Otago District Council","Rates","Water supply",2334
2009,"Central Otago District Council","Regulatory income and petrol tax","Water supply",0
2009,"Central Otago District Council","Current grants, subsidies, and donations income","Water supply",24
2009,"Central Otago District Council","Interest income","Water supply",0
2009,"Central Otago District Council","Dividend income","Water supply",0
2009,"Central Otago District Council","Sales and other operating income","Water supply",217
2009,"Central Otago District Council","Employee costs","Water supply",0
2009,"Central Otago District Council","Depreciation and amortisation","Water supply",1024
2009,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2009,"Central Otago District Council","Interest expenditure","Water supply",0
2009,"Central Otago District Council","Purchases and other operating expenditure","Water supply",1736
2014,"Central Otago District Council","Rates","Wastewater",3039
2014,"Central Otago District Council","Regulatory income and petrol tax","Wastewater",18
2014,"Central Otago District Council","Current grants, subsidies, and donations income","Wastewater",0
2014,"Central Otago District Council","Interest income","Wastewater",0
2014,"Central Otago District Council","Dividend income","Wastewater",0
2014,"Central Otago District Council","Sales and other operating income","Wastewater",1
2014,"Central Otago District Council","Employee costs","Wastewater",339
2014,"Central Otago District Council","Depreciation and amortisation","Wastewater",1552
2014,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2014,"Central Otago District Council","Interest expenditure","Wastewater",0
2014,"Central Otago District Council","Purchases and other operating expenditure","Wastewater",714
2013,"Central Otago District Council","Rates","Wastewater",3167
2013,"Central Otago District Council","Regulatory income and petrol tax","Wastewater",23
2013,"Central Otago District Council","Current grants, subsidies, and donations income","Wastewater",0
2013,"Central Otago District Council","Interest income","Wastewater",0
2013,"Central Otago District Council","Dividend income","Wastewater",0
2013,"Central Otago District Council","Sales and other operating income","Wastewater",2
2013,"Central Otago District Council","Employee costs","Wastewater",324
2013,"Central Otago District Council","Depreciation and amortisation","Wastewater",1536
2013,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2013,"Central Otago District Council","Interest expenditure","Wastewater",0
2013,"Central Otago District Council","Purchases and other operating expenditure","Wastewater",723
2012,"Central Otago District Council","Rates","Wastewater",2696
2012,"Central Otago District Council","Regulatory income and petrol tax","Wastewater",0
2012,"Central Otago District Council","Current grants, subsidies, and donations income","Wastewater",0
2012,"Central Otago District Council","Interest income","Wastewater",0
2012,"Central Otago District Council","Dividend income","Wastewater",0
2012,"Central Otago District Council","Sales and other operating income","Wastewater",18
2012,"Central Otago District Council","Employee costs","Wastewater",105
2012,"Central Otago District Council","Depreciation and amortisation","Wastewater",1062
2012,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2012,"Central Otago District Council","Interest expenditure","Wastewater",0
2012,"Central Otago District Council","Purchases and other operating expenditure","Wastewater",1675
2011,"Central Otago District Council","Rates","Wastewater",2672
2011,"Central Otago District Council","Regulatory income and petrol tax","Wastewater",0
2011,"Central Otago District Council","Current grants, subsidies, and donations income","Wastewater",0
2011,"Central Otago District Council","Interest income","Wastewater",0
2011,"Central Otago District Council","Dividend income","Wastewater",0
2011,"Central Otago District Council","Sales and other operating income","Wastewater",9
2011,"Central Otago District Council","Employee costs","Wastewater",94
2011,"Central Otago District Council","Depreciation and amortisation","Wastewater",1540
2011,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2011,"Central Otago District Council","Interest expenditure","Wastewater",0
2011,"Central Otago District Council","Purchases and other operating expenditure","Wastewater",1269
2010,"Central Otago District Council","Rates","Wastewater",2385
2010,"Central Otago District Council","Regulatory income and petrol tax","Wastewater",0
2010,"Central Otago District Council","Current grants, subsidies, and donations income","Wastewater",0
2010,"Central Otago District Council","Interest income","Wastewater",0
2010,"Central Otago District Council","Dividend income","Wastewater",0
2010,"Central Otago District Council","Sales and other operating income","Wastewater",15
2010,"Central Otago District Council","Employee costs","Wastewater",96
2010,"Central Otago District Council","Depreciation and amortisation","Wastewater",1488
2010,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2010,"Central Otago District Council","Interest expenditure","Wastewater",0
2010,"Central Otago District Council","Purchases and other operating expenditure","Wastewater",1239
2009,"Central Otago District Council","Rates","Wastewater",2223
2009,"Central Otago District Council","Regulatory income and petrol tax","Wastewater",0
2009,"Central Otago District Council","Current grants, subsidies, and donations income","Wastewater",0
2009,"Central Otago District Council","Interest income","Wastewater",0
2009,"Central Otago District Council","Dividend income","Wastewater",0
2009,"Central Otago District Council","Sales and other operating income","Wastewater",-1
2009,"Central Otago District Council","Employee costs","Wastewater",0
2009,"Central Otago District Council","Depreciation and amortisation","Wastewater",1123
2009,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2009,"Central Otago District Council","Interest expenditure","Wastewater",0
2009,"Central Otago District Council","Purchases and other operating expenditure","Wastewater",1138
2014,"Central Otago District Council","Rates","Solid waste/refuse",2348
2014,"Central Otago District Council","Regulatory income and petrol tax","Solid waste/refuse",647
2014,"Central Otago District Council","Current grants, subsidies, and donations income","Solid waste/refuse",28
2014,"Central Otago District Council","Interest income","Solid waste/refuse",0
2014,"Central Otago District Council","Dividend income","Solid waste/refuse",0
2014,"Central Otago District Council","Sales and other operating income","Solid waste/refuse",54
2014,"Central Otago District Council","Employee costs","Solid waste/refuse",877
2014,"Central Otago District Council","Depreciation and amortisation","Solid waste/refuse",56
2014,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2014,"Central Otago District Council","Interest expenditure","Solid waste/refuse",0
2014,"Central Otago District Council","Purchases and other operating expenditure","Solid waste/refuse",1858
2013,"Central Otago District Council","Rates","Solid waste/refuse",2137
2013,"Central Otago District Council","Regulatory income and petrol tax","Solid waste/refuse",776
2013,"Central Otago District Council","Current grants, subsidies, and donations income","Solid waste/refuse",50
2013,"Central Otago District Council","Interest income","Solid waste/refuse",0
2013,"Central Otago District Council","Dividend income","Solid waste/refuse",0
2013,"Central Otago District Council","Sales and other operating income","Solid waste/refuse",57
2013,"Central Otago District Council","Employee costs","Solid waste/refuse",813
2013,"Central Otago District Council","Depreciation and amortisation","Solid waste/refuse",53
2013,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2013,"Central Otago District Council","Interest expenditure","Solid waste/refuse",0
2013,"Central Otago District Council","Purchases and other operating expenditure","Solid waste/refuse",1801
2012,"Central Otago District Council","Rates","Solid waste/refuse",2061
2012,"Central Otago District Council","Regulatory income and petrol tax","Solid waste/refuse",0
2012,"Central Otago District Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2012,"Central Otago District Council","Interest income","Solid waste/refuse",0
2012,"Central Otago District Council","Dividend income","Solid waste/refuse",0
2012,"Central Otago District Council","Sales and other operating income","Solid waste/refuse",822
2012,"Central Otago District Council","Employee costs","Solid waste/refuse",100
2012,"Central Otago District Council","Depreciation and amortisation","Solid waste/refuse",65
2012,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2012,"Central Otago District Council","Interest expenditure","Solid waste/refuse",0
2012,"Central Otago District Council","Purchases and other operating expenditure","Solid waste/refuse",2580
2011,"Central Otago District Council","Rates","Solid waste/refuse",1882
2011,"Central Otago District Council","Regulatory income and petrol tax","Solid waste/refuse",0
2011,"Central Otago District Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2011,"Central Otago District Council","Interest income","Solid waste/refuse",0
2011,"Central Otago District Council","Dividend income","Solid waste/refuse",0
2011,"Central Otago District Council","Sales and other operating income","Solid waste/refuse",797
2011,"Central Otago District Council","Employee costs","Solid waste/refuse",104
2011,"Central Otago District Council","Depreciation and amortisation","Solid waste/refuse",49
2011,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2011,"Central Otago District Council","Interest expenditure","Solid waste/refuse",0
2011,"Central Otago District Council","Purchases and other operating expenditure","Solid waste/refuse",2403
2010,"Central Otago District Council","Rates","Solid waste/refuse",2025
2010,"Central Otago District Council","Regulatory income and petrol tax","Solid waste/refuse",0
2010,"Central Otago District Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2010,"Central Otago District Council","Interest income","Solid waste/refuse",0
2010,"Central Otago District Council","Dividend income","Solid waste/refuse",0
2010,"Central Otago District Council","Sales and other operating income","Solid waste/refuse",575
2010,"Central Otago District Council","Employee costs","Solid waste/refuse",94
2010,"Central Otago District Council","Depreciation and amortisation","Solid waste/refuse",49
2010,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2010,"Central Otago District Council","Interest expenditure","Solid waste/refuse",0
2010,"Central Otago District Council","Purchases and other operating expenditure","Solid waste/refuse",2467
2009,"Central Otago District Council","Rates","Solid waste/refuse",1925
2009,"Central Otago District Council","Regulatory income and petrol tax","Solid waste/refuse",0
2009,"Central Otago District Council","Current grants, subsidies, and donations income","Solid waste/refuse",0
2009,"Central Otago District Council","Interest income","Solid waste/refuse",0
2009,"Central Otago District Council","Dividend income","Solid waste/refuse",0
2009,"Central Otago District Council","Sales and other operating income","Solid waste/refuse",389
2009,"Central Otago District Council","Employee costs","Solid waste/refuse",0
2009,"Central Otago District Council","Depreciation and amortisation","Solid waste/refuse",48
2009,"Central Otago District Council","Current grants, subsidies, and donations expenditure","Solid waste/refuse",0
2009,"Central Otago District Council","Interest expenditure","Solid waste/refuse",0
2009,"Central Otago District Council","Purchases and other operating expenditure","Solid waste/refuse",2302
2014,"Central Otago District Council","Rates","Environmental protection",0
2014,"Central Otago District Council","Regulatory income and petrol tax","Environmental protection",0
2014,"Central Otago District Council","Current grants, subsidies, and donations income","Environmental protection",0
2014,"Central Otago District Council","Interest income","Environmental protection",0
2014,"Central Otago District Council","Dividend income","Environmental protection",0
