"year","council","income","activity","val"
2010,"Masterton District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Masterton District Council","Interest income","Transportation",0
2010,"Masterton District Council","Dividend income","Transportation",0
2010,"Masterton District Council","Sales and other operating income","Transportation",390
2010,"Masterton District Council","Employee costs","Transportation",0
2010,"Masterton District Council","Depreciation and amortisation","Transportation",65
2010,"Masterton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Masterton District Council","Interest expenditure","Transportation",26
2010,"Masterton District Council","Purchases and other operating expenditure","Transportation",199
2009,"Masterton District Council","Rates","Transportation",54
2009,"Masterton District Council","Regulatory income and petrol tax","Transportation",51
2009,"Masterton District Council","Current grants, subsidies, and donations income","Transportation",0
2009,"Masterton District Council","Interest income","Transportation",0
2009,"Masterton District Council","Dividend income","Transportation",0
2009,"Masterton District Council","Sales and other operating income","Transportation",323
2009,"Masterton District Council","Employee costs","Transportation",0
2009,"Masterton District Council","Depreciation and amortisation","Transportation",51
2009,"Masterton District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Masterton District Council","Interest expenditure","Transportation",6
2009,"Masterton District Council","Purchases and other operating expenditure","Transportation",171
2014,"Masterton District Council","Rates","Water supply",2877
2014,"Masterton District Council","Regulatory income and petrol tax","Water supply",0
2014,"Masterton District Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Masterton District Council","Interest income","Water supply",0
2014,"Masterton District Council","Dividend income","Water supply",0
2014,"Masterton District Council","Sales and other operating income","Water supply",323
2014,"Masterton District Council","Employee costs","Water supply",273
2014,"Masterton District Council","Depreciation and amortisation","Water supply",1251
2014,"Masterton District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Masterton District Council","Interest expenditure","Water supply",104
2014,"Masterton District Council","Purchases and other operating expenditure","Water supply",1243
2013,"Masterton District Council","Rates","Water supply",2711
2013,"Masterton District Council","Regulatory income and petrol tax","Water supply",0
2013,"Masterton District Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Masterton District Council","Interest income","Water supply",0
2013,"Masterton District Council","Dividend income","Water supply",0
2013,"Masterton District Council","Sales and other operating income","Water supply",240
2013,"Masterton District Council","Employee costs","Water supply",275
2013,"Masterton District Council","Depreciation and amortisation","Water supply",1246
2013,"Masterton District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Masterton District Council","Interest expenditure","Water supply",98
2013,"Masterton District Council","Purchases and other operating expenditure","Water supply",1668
2012,"Masterton District Council","Rates","Water supply",2505
2012,"Masterton District Council","Regulatory income and petrol tax","Water supply",0
2012,"Masterton District Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Masterton District Council","Interest income","Water supply",0
2012,"Masterton District Council","Dividend income","Water supply",0
2012,"Masterton District Council","Sales and other operating income","Water supply",213
2012,"Masterton District Council","Employee costs","Water supply",256
2012,"Masterton District Council","Depreciation and amortisation","Water supply",1285
2012,"Masterton District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Masterton District Council","Interest expenditure","Water supply",87
2012,"Masterton District Council","Purchases and other operating expenditure","Water supply",1514
2011,"Masterton District Council","Rates","Water supply",2300
2011,"Masterton District Council","Regulatory income and petrol tax","Water supply",0
2011,"Masterton District Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Masterton District Council","Interest income","Water supply",0
2011,"Masterton District Council","Dividend income","Water supply",0
2011,"Masterton District Council","Sales and other operating income","Water supply",263
2011,"Masterton District Council","Employee costs","Water supply",234
2011,"Masterton District Council","Depreciation and amortisation","Water supply",1046
2011,"Masterton District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Masterton District Council","Interest expenditure","Water supply",87
2011,"Masterton District Council","Purchases and other operating expenditure","Water supply",1457
2010,"Masterton District Council","Rates","Water supply",2080
2010,"Masterton District Council","Regulatory income and petrol tax","Water supply",0
2010,"Masterton District Council","Current grants, subsidies, and donations income","Water supply",0
2010,"Masterton District Council","Interest income","Water supply",0
2010,"Masterton District Council","Dividend income","Water supply",0
2010,"Masterton District Council","Sales and other operating income","Water supply",215
2010,"Masterton District Council","Employee costs","Water supply",231
2010,"Masterton District Council","Depreciation and amortisation","Water supply",991
2010,"Masterton District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"Masterton District Council","Interest expenditure","Water supply",72
2010,"Masterton District Council","Purchases and other operating expenditure","Water supply",924
2009,"Masterton District Council","Rates","Water supply",2041
2009,"Masterton District Council","Regulatory income and petrol tax","Water supply",0
2009,"Masterton District Council","Current grants, subsidies, and donations income","Water supply",0
2009,"Masterton District Council","Interest income","Water supply",0
2009,"Masterton District Council","Dividend income","Water supply",0
2009,"Masterton District Council","Sales and other operating income","Water supply",210
2009,"Masterton District Council","Employee costs","Water supply",240
2009,"Masterton District Council","Depreciation and amortisation","Water supply",965
2009,"Masterton District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2009,"Masterton District Council","Interest expenditure","Water supply",100
2009,"Masterton District Council","Purchases and other operating expenditure","Water supply",1034
2014,"Masterton District Council","Rates","Wastewater",6249
2014,"Masterton District Council","Regulatory income and petrol tax","Wastewater",0
2014,"Masterton District Council","Current grants, subsidies, and donations income","Wastewater",0
2014,"Masterton District Council","Interest income","Wastewater",0
2014,"Masterton District Council","Dividend income","Wastewater",0
2014,"Masterton District Council","Sales and other operating income","Wastewater",301
2014,"Masterton District Council","Employee costs","Wastewater",81
2014,"Masterton District Council","Depreciation and amortisation","Wastewater",2618
2014,"Masterton District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2014,"Masterton District Council","Interest expenditure","Wastewater",2568
2014,"Masterton District Council","Purchases and other operating expenditure","Wastewater",1451
2013,"Masterton District Council","Rates","Wastewater",5800
2013,"Masterton District Council","Regulatory income and petrol tax","Wastewater",0
2013,"Masterton District Council","Current grants, subsidies, and donations income","Wastewater",0
2013,"Masterton District Council","Interest income","Wastewater",0
2013,"Masterton District Council","Dividend income","Wastewater",0
2013,"Masterton District Council","Sales and other operating income","Wastewater",250
2013,"Masterton District Council","Employee costs","Wastewater",66
2013,"Masterton District Council","Depreciation and amortisation","Wastewater",2112
2013,"Masterton District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2013,"Masterton District Council","Interest expenditure","Wastewater",2312
2013,"Masterton District Council","Purchases and other operating expenditure","Wastewater",1794
2012,"Masterton District Council","Rates","Wastewater",5578
2012,"Masterton District Council","Regulatory income and petrol tax","Wastewater",0
2012,"Masterton District Council","Current grants, subsidies, and donations income","Wastewater",0
2012,"Masterton District Council","Interest income","Wastewater",0
2012,"Masterton District Council","Dividend income","Wastewater",0
2012,"Masterton District Council","Sales and other operating income","Wastewater",226
2012,"Masterton District Council","Employee costs","Wastewater",44
2012,"Masterton District Council","Depreciation and amortisation","Wastewater",1909
2012,"Masterton District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2012,"Masterton District Council","Interest expenditure","Wastewater",1761
2012,"Masterton District Council","Purchases and other operating expenditure","Wastewater",1502
2011,"Masterton District Council","Rates","Wastewater",6457
2011,"Masterton District Council","Regulatory income and petrol tax","Wastewater",0
2011,"Masterton District Council","Current grants, subsidies, and donations income","Wastewater",0
2011,"Masterton District Council","Interest income","Wastewater",0
2011,"Masterton District Council","Dividend income","Wastewater",0
